,x
0,0
1,1
2,2
3,0
5,1
6,1
7,1
8,1
9,0
10,2
11,1
12,1
13,2
14,1
15,2
16,1
17,1
18,1
20,1
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,0
30,2
31,1
32,2
33,1
35,2
36,1
37,1
38,2
39,1
40,0
41,1
42,2
43,1
44,2
46,1
47,1
48,2
49,0
50,2
51,2
52,0
53,1
54,2
55,0
56,1
57,1
58,2
59,1
60,1
61,2
62,1
63,2
64,2
65,1
66,2
67,1
68,1
69,1
70,2
72,1
73,2
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
84,1
85,1
86,1
87,1
88,0
89,1
90,1
92,1
93,0
94,1
95,1
96,2
97,1
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
108,2
109,2
110,1
111,1
112,0
113,1
115,2
116,2
117,1
118,2
119,1
120,1
121,1
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,2
134,2
135,1
136,1
137,1
138,1
140,1
141,1
143,1
144,2
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,0
156,1
157,2
158,1
159,1
160,2
161,2
162,1
164,1
165,2
167,1
168,1
169,1
170,1
171,1
172,1
173,2
174,1
176,2
177,1
178,1
179,2
180,2
182,1
183,2
184,1
185,2
186,1
187,1
188,2
189,1
190,1
191,1
192,1
193,1
194,1
196,1
197,2
198,2
199,2
200,1
201,1
202,1
203,2
204,2
205,2
206,1
207,2
208,2
209,1
211,1
212,2
213,2
214,1
215,2
216,1
217,1
218,2
220,2
221,1
222,1
223,2
224,2
225,1
226,1
227,2
228,2
229,1
230,1
231,1
232,1
233,1
234,2
235,0
236,1
238,2
239,2
240,1
241,1
242,1
243,2
244,2
245,1
246,1
247,0
248,1
249,1
250,1
251,2
252,1
253,2
254,0
255,1
256,2
258,2
259,1
260,1
261,1
262,1
264,2
266,2
267,2
268,1
269,1
270,1
271,1
274,0
275,2
276,1
277,1
