,x
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,0
9,0
10,3
11,1
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,0
24,1
25,2
26,0
27,1
28,2
29,3
30,1
33,3
34,3
35,0
36,2
37,0
38,0
39,3
40,3
41,0
42,1
44,3
45,1
46,0
47,0
48,3
49,1
50,1
51,1
52,1
53,0
54,3
55,0
57,3
58,0
59,1
60,1
61,1
62,2
63,0
65,3
66,1
67,0
68,1
69,3
71,2
73,2
76,1
77,3
78,3
79,1
80,3
81,1
82,1
83,3
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,3
93,1
94,0
95,1
96,0
97,3
98,3
99,1
100,2
101,1
102,0
103,1
104,0
105,0
106,0
107,3
108,2
109,1
110,0
111,0
112,3
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,2
121,0
122,2
123,2
124,1
125,0
126,0
127,3
128,0
129,0
130,3
131,0
132,1
133,1
