,x
0,0
1,0
2,0
3,1
4,0
5,1
8,3
9,0
10,3
11,1
12,2
13,0
14,0
15,1
16,1
17,0
18,1
20,0
21,0
22,0
23,0
24,1
25,2
26,0
27,1
28,2
29,3
30,1
31,0
32,1
33,3
35,0
36,2
37,0
38,0
40,3
41,0
42,1
43,1
44,3
45,1
46,0
47,0
48,3
49,1
50,1
52,1
54,3
55,0
56,3
57,3
58,0
59,1
60,1
61,1
63,0
64,3
65,3
66,1
67,0
68,1
69,3
70,0
71,2
72,0
73,2
74,1
75,1
76,1
77,3
78,3
79,1
80,3
81,1
82,1
83,3
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,3
93,1
94,0
95,1
96,0
98,3
100,2
101,1
102,0
103,1
105,0
107,3
108,2
109,1
110,0
111,0
112,3
113,2
114,1
115,1
116,1
118,1
119,1
120,2
121,0
122,2
123,2
124,1
125,0
126,0
127,3
128,0
129,0
130,3
131,0
133,1
