,x
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
27,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
38,0
39,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
58,0
59,0
60,0
61,0
62,0
64,0
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
141,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
158,0
159,0
160,0
161,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
187,0
188,0
189,0
190,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
269,0
270,0
271,0
273,1
274,1
275,1
276,1
277,1
278,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
297,1
298,1
299,1
300,1
301,1
303,1
304,1
305,1
306,1
307,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
322,1
324,1
327,1
328,1
329,1
330,1
331,1
332,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,0
376,1
377,1
379,1
380,1
382,1
383,0
384,1
385,0
386,1
387,1
389,0
390,1
391,1
393,0
394,0
395,0
397,0
398,0
399,1
400,1
402,0
403,0
404,1
405,0
407,1
409,1
410,0
411,0
413,1
414,1
415,1
416,1
417,1
418,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
430,1
431,1
432,1
433,1
434,1
436,1
437,1
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,1
453,1
454,0
455,0
457,1
458,1
459,1
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,0
