train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.83200002	0.53571427	0.782524	0.65880102	30.44834328	243.65852356	0.37053695	-1.0	-1.0	-1.0	-1.0	114.515095	314.0	0.0	1.0
0.972	0.5714286	0.930116	0.68494898	4.22648668	140.49197388	0.11027246	-1.0	-1.0	-1.0	-1.0	218.7108798	263.0	1.0	1.0
0.62400001	0.64285713	0.828468	0.72576531	84.62207794	132.2649231	0.3279777	-1.0	-1.0	-1.0	-1.0	309.98582458	43.0	2.0	1.0
0.69199997	0.32142857	0.68352	0.50797194	105.36704254	340.63275146	-0.11027246	-1.0	-1.0	-1.0	-1.0	407.76814461	127.0	3.0	1.0
0.95999998	0.5	0.962784	0.64668367	9.27755928	266.86935425	0.11855687	-1.0	-1.0	-1.0	-1.0	526.62961173	485.0	4.0	1.0
0.81599998	0.32142857	0.560556	0.49107143	23.31141853	194.93086243	0.0	-1.0	-1.0	-1.0	-1.0	636.99142218	156.0	5.0	1.0
0.97600001	0.5	0.772932	0.625	7.09318542	228.75938416	0.24194335	-1.0	-1.0	-1.0	-1.0	770.21032357	492.0	6.0	1.0
0.66399997	0.5714286	0.706224	0.69770408	79.53165436	148.16838074	-0.13441297	-1.0	-1.0	-1.0	-1.0	862.98580098	41.0	7.0	1.0
0.56175297	0.2962963	0.57986381	0.47222222	150.0912323	206.7414856	0.0	-1.0	-1.0	-1.0	-1.0	959.38330317	103.0	8.0	1.0
0.70517927	0.5925926	0.70784988	0.69444444	46.02096558	203.86689758	0.0	-1.0	-1.0	-1.0	-1.0	1055.67645717	114.0	9.0	1.0
