train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.67199999	0.42857143	0.668016	0.58322704	37.90890884	109.50291443	0.15438145	-1.0	-1.0	-1.0	-1.0	71.3604126	500.0	0.0	1.0
0.69999999	0.42857143	0.832032	0.60204082	53.54639435	120.82064056	-0.05081009	-1.0	-1.0	-1.0	-1.0	137.04453826	500.0	1.0	1.0
0.59200001	0.5714286	0.712112	0.67857143	64.80164337	162.4466095	0.0	-1.0	-1.0	-1.0	-1.0	201.06175184	500.0	2.0	1.0
0.53600001	0.5714286	0.694	0.67857143	121.95836639	243.39015198	0.0	-1.0	-1.0	-1.0	-1.0	233.6770165	68.0	3.0	1.0
0.63999999	0.5	0.8298	0.63424745	55.31386185	106.49476624	-0.01950686	-1.0	-1.0	-1.0	-1.0	298.8684175	500.0	4.0	1.0
0.74400002	0.64285713	0.84986	0.72576531	34.29467392	66.28224182	0.21384973	-1.0	-1.0	-1.0	-1.0	360.84905815	500.0	5.0	1.0
0.55199999	0.5714286	0.751832	0.72066327	112.80186462	109.05278778	-0.05811291	-1.0	-1.0	-1.0	-1.0	395.64160967	128.0	6.0	1.0
0.55199999	0.32142857	0.49	0.49107143	234.2432251	351.11328125	0.0	-1.0	-1.0	-1.0	-1.0	428.16970325	72.0	7.0	1.0
0.59362549	0.62962961	0.70959985	0.72222222	94.06868744	107.19462585	0.0	-1.0	-1.0	-1.0	-1.0	491.45296836	500.0	8.0	1.0
0.52191234	0.5925926	0.69223108	0.69444444	134.65286255	147.46565247	0.0	-1.0	-1.0	-1.0	-1.0	528.80802846	85.0	9.0	1.0
