train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.58173078	0.58333331	0.64139932	0.58333333	302.12298584	322.63552856	0.30151134	-1.0	-1.0	-1.0	-1.0	49.35454798	276.0	0.0	1.0
0.60576922	0.66666669	0.57268168	0.66666667	247.40794373	233.22904968	0.4472136	-1.0	-1.0	-1.0	-1.0	85.85107517	175.0	1.0	1.0
0.53110045	0.65217394	0.70453973	0.66666667	300.17767334	304.20727539	0.43929769	-1.0	-1.0	-1.0	-1.0	120.25465584	143.0	2.0	1.0
0.58373207	0.56521738	0.60383233	0.60416667	303.82244873	251.93511963	0.29546842	-1.0	-1.0	-1.0	-1.0	161.15122247	248.0	3.0	1.0
0.58373207	0.60869563	0.62349763	0.59090909	317.30050659	294.89346313	0.32232919	-1.0	-1.0	-1.0	-1.0	200.70465136	211.0	4.0	1.0
0.56937802	0.69565219	0.67958609	0.68181818	336.9543457	228.2350769	0.47923384	-1.0	-1.0	-1.0	-1.0	247.24826312	315.0	5.0	1.0
0.55023921	0.65217394	0.63439482	0.63636364	316.93930054	355.87350464	0.40451992	-1.0	-1.0	-1.0	-1.0	295.03240776	328.0	6.0	1.0
0.54545456	0.52173913	0.58499119	0.52272727	352.65710449	338.45257568	0.0	-1.0	-1.0	-1.0	-1.0	337.27305532	239.0	7.0	1.0
0.54545456	0.65217394	0.69160505	0.65909091	375.65814209	217.06336975	0.40451992	-1.0	-1.0	-1.0	-1.0	381.90482235	303.0	8.0	1.0
0.59808612	0.52173913	0.55995742	0.52272727	348.39556885	307.71289062	0.0	-1.0	-1.0	-1.0	-1.0	429.00338268	274.0	9.0	1.0
