train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.76923078	0.66666669	0.79074982	0.66666667	104.68282318	124.96770477	0.4472136	-1.0	-1.0	-1.0	-1.0	38.79809833	66.0	0.0	1.0
0.75	0.625	0.60784948	0.625	170.58241272	250.31230164	0.37796447	-1.0	-1.0	-1.0	-1.0	74.56471848	92.0	1.0	1.0
0.91387558	0.47826087	0.52277878	0.5	161.56500244	1651.53344727	0.0	-1.0	-1.0	-1.0	-1.0	137.64020157	500.0	2.0	1.0
0.71291864	0.60869563	0.64316293	0.66666667	177.12605286	214.67204285	0.37080992	-1.0	-1.0	-1.0	-1.0	171.24016404	52.0	3.0	1.0
0.55023921	0.56521738	0.55795426	0.56818182	317.69851685	321.03414917	0.22268089	-1.0	-1.0	-1.0	-1.0	205.0201993	63.0	4.0	1.0
0.61722487	0.56521738	0.57349878	0.54545455	248.07585144	268.71893311	0.22268089	-1.0	-1.0	-1.0	-1.0	237.25739288	38.0	5.0	1.0
0.53110045	0.60869563	0.55900735	0.59090909	308.82476807	316.11123657	0.32232919	-1.0	-1.0	-1.0	-1.0	269.48275638	51.0	6.0	1.0
0.54545456	0.56521738	0.54255855	0.54545455	404.33331299	406.59805298	0.22268089	-1.0	-1.0	-1.0	-1.0	305.68290424	78.0	7.0	1.0
0.67464113	0.60869563	0.58938669	0.59090909	205.65391541	286.34182739	0.32232919	-1.0	-1.0	-1.0	-1.0	339.93387508	54.0	8.0	1.0
0.55023921	0.56521738	0.53957098	0.54545455	333.79486084	367.74676514	0.22268089	-1.0	-1.0	-1.0	-1.0	371.44024205	47.0	9.0	1.0
