train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.2	0.33333334	0.52692308	0.5	265.92849731	281.44421387	0.0	-1.0	-1.0	-1.0	-1.0	81.35343146	174.0	0.0	1.0
0.25384617	0.33333334	0.52955621	0.5	202.60623169	408.06558228	0.0	-1.0	-1.0	-1.0	-1.0	174.14263964	342.0	1.0	1.0
0.16923077	0.40000001	0.52115385	0.55	271.78695679	301.83322144	0.0	-1.0	-1.0	-1.0	-1.0	249.32362127	220.0	2.0	1.0
0.23846154	0.40000001	0.52692308	0.55	209.29899597	274.25488281	0.0	-1.0	-1.0	-1.0	-1.0	333.73208046	431.0	3.0	1.0
0.31538463	0.40000001	0.52692308	0.55	200.44181824	307.12484741	0.0	-1.0	-1.0	-1.0	-1.0	407.30085063	184.0	4.0	1.0
0.19083969	0.35714287	0.52480916	0.51785714	309.7215271	324.68435669	0.0	-1.0	-1.0	-1.0	-1.0	474.26229167	43.0	5.0	1.0
0.17557251	0.35714287	0.52480916	0.51785714	328.3772583	335.11346436	0.0	-1.0	-1.0	-1.0	-1.0	540.52415228	47.0	6.0	1.0
0.40458015	0.5714286	0.700236	0.6505102	145.85974121	92.33439636	0.38430757	-1.0	-1.0	-1.0	-1.0	627.82544565	500.0	7.0	1.0
0.30534351	0.35714287	0.53197657	0.51785714	136.43405151	252.19619751	0.0	-1.0	-1.0	-1.0	-1.0	716.28992248	307.0	8.0	1.0
0.22137405	0.35714287	0.52480916	0.51785714	218.60127258	303.08618164	0.0	-1.0	-1.0	-1.0	-1.0	786.1807096	129.0	9.0	1.0
