train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.63076925	0.33333334	0.60494083	0.52222222	159.12687683	231.7184906	0.0	-1.0	-1.0	-1.0	-1.0	92.96649075	89.0	0.0	1.0
0.43076923	0.33333334	0.6716568	0.48333333	207.19619751	530.46020508	0.0	-1.0	-1.0	-1.0	-1.0	188.87388158	224.0	1.0	1.0
0.84615386	0.46666667	0.84289941	0.62444444	34.3716011	194.67210388	0.17914964	-1.0	-1.0	-1.0	-1.0	308.94042468	386.0	2.0	1.0
0.90769231	0.60000002	0.8956213	0.72	15.7977562	111.30852509	0.41586436	-1.0	-1.0	-1.0	-1.0	407.66000271	215.0	3.0	1.0
0.83076924	0.40000001	0.78044379	0.54	26.91570663	178.62057495	0.29637449	-1.0	-1.0	-1.0	-1.0	503.37680674	189.0	4.0	1.0
0.74809158	0.35714287	0.80838821	0.53571429	55.61730957	202.79898071	0.0	-1.0	-1.0	-1.0	-1.0	596.74896717	92.0	5.0	1.0
0.31297711	0.35714287	0.53002447	0.51785714	148.20718384	254.30430603	0.0	-1.0	-1.0	-1.0	-1.0	687.34018445	43.0	6.0	1.0
0.46564886	0.35714287	0.54524795	0.51785714	103.09991455	400.12652588	0.0	-1.0	-1.0	-1.0	-1.0	783.3249054	196.0	7.0	1.0
0.36641222	0.35714287	0.60021269	0.51785714	132.17672729	298.31222534	0.0	-1.0	-1.0	-1.0	-1.0	873.99896932	54.0	8.0	1.0
0.93129772	0.35714287	0.83134724	0.50637755	12.70871925	176.08479309	0.2236068	-1.0	-1.0	-1.0	-1.0	973.65958166	266.0	9.0	1.0
