train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.34999999	0.35714287	0.60635417	0.57142857	117.32112885	114.76514435	0.0	-1.0	-1.0	-1.0	-1.0	88.7345624	500.0	0.0	1.0
0.5	0.35714287	0.65196759	0.57142857	66.98473358	120.08470154	0.0	-1.0	-1.0	-1.0	-1.0	165.6021986	382.0	1.0	1.0
0.53333336	0.5714286	0.68581019	0.71258503	54.36284256	63.58102417	0.38695453	-1.0	-1.0	-1.0	-1.0	250.5684936	500.0	2.0	1.0
0.34166667	0.35714287	0.60670139	0.5994898	128.13548279	152.48733521	0.05008354	-1.0	-1.0	-1.0	-1.0	335.22172666	493.0	3.0	1.0
0.70247936	0.30769232	0.86040343	0.55424063	33.78430557	90.24258423	0.05796087	-1.0	-1.0	-1.0	-1.0	417.73320818	500.0	4.0	1.0
0.51239669	0.30769232	0.60907725	0.52859961	54.5928688	132.95231628	0.27100983	-1.0	-1.0	-1.0	-1.0	503.00840259	500.0	5.0	1.0
0.52066118	0.61538464	0.8358491	0.73372781	76.2226181	114.24288177	0.46203746	-1.0	-1.0	-1.0	-1.0	587.57201076	500.0	6.0	1.0
0.35537189	0.38461539	0.57024793	0.58974359	124.91362	196.48402405	0.0	-1.0	-1.0	-1.0	-1.0	672.41981125	421.0	7.0	1.0
0.50413221	0.07692308	0.46008925	0.38658777	77.56169891	153.88470459	-0.0751646	-1.0	-1.0	-1.0	-1.0	745.16129804	182.0	8.0	1.0
0.69421488	0.30769232	0.83580357	0.53648915	21.51278496	105.35310364	-0.01899	-1.0	-1.0	-1.0	-1.0	828.98221517	500.0	9.0	1.0
