train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.89999998	0.42857143	0.98950231	0.66496599	11.86695957	50.31064987	0.29745654	-1.0	-1.0	-1.0	-1.0	113.00581956	149.0	0.0	1.0
1.0	0.42857143	1.0	0.68197279	1e-08	63.25053024	0.16857391	-1.0	-1.0	-1.0	-1.0	221.30970025	500.0	1.0	1.0
0.85833335	0.42857143	0.96168981	0.6420068	19.11920929	85.6818924	0.1814885	-1.0	-1.0	-1.0	-1.0	315.15125251	118.0	2.0	1.0
0.73333335	0.21428572	0.75252315	0.47619048	46.41240311	148.95976257	0.04589668	-1.0	-1.0	-1.0	-1.0	407.88542867	117.0	3.0	1.0
0.70247936	0.30769232	0.8571705	0.59368836	48.62939835	76.66830444	0.13382584	-1.0	-1.0	-1.0	-1.0	516.61824989	184.0	4.0	1.0
1.0	0.38461539	0.99997723	0.60453649	0.79235291	76.89110565	0.09764168	-1.0	-1.0	-1.0	-1.0	628.06540608	175.0	5.0	1.0
1.0	0.61538464	1.0	0.7504931	0.0	25.0356636	0.4564214	-1.0	-1.0	-1.0	-1.0	759.00469708	500.0	6.0	1.0
1.0	0.84615386	1.0	0.89151874	3e-08	31.76152611	0.80212413	-1.0	-1.0	-1.0	-1.0	859.49413323	256.0	7.0	1.0
1.0	0.30769232	1.0	0.62721893	1e-08	72.85358429	0.01788282	-1.0	-1.0	-1.0	-1.0	968.04074574	500.0	8.0	1.0
1.0	0.38461539	1.0	0.64595661	0.0	40.82020569	0.14443163	-1.0	-1.0	-1.0	-1.0	1092.05598974	500.0	9.0	1.0
