train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.77828056	0.68000001	0.80571907	0.65711806	226.07420349	124.63638306	0.30555556	-1.0	-1.0	-1.0	-1.0	127.75206423	500.0	0.0	1.0
0.58597285	0.36000001	0.35067873	0.5	1446.2689209	2638.21386719	0.0	-1.0	-1.0	-1.0	-1.0	215.46935439	24.0	1.0	1.0
0.68623024	0.46938777	0.43868759	0.56387868	642.2310791	1062.90844727	0.20596	-1.0	-1.0	-1.0	-1.0	306.10212564	132.0	2.0	1.0
0.63205415	0.34693879	0.35214447	0.5	1087.01123047	1554.11230469	0.0	-1.0	-1.0	-1.0	-1.0	393.54827571	6.0	3.0	1.0
0.78329569	0.73469388	0.8272781	0.67233456	138.11883545	146.8631897	0.37559028	-1.0	-1.0	-1.0	-1.0	518.95256495	500.0	4.0	1.0
0.57336342	0.34693879	0.35214447	0.5	1439.71459961	2439.72436523	0.0	-1.0	-1.0	-1.0	-1.0	596.86542845	6.0	5.0	1.0
0.56433409	0.34693879	0.35214447	0.5	1645.28833008	2566.02954102	0.0	-1.0	-1.0	-1.0	-1.0	684.3234036	6.0	6.0	1.0
0.7562077	0.77551019	0.80776463	0.70404412	153.55543518	86.27668762	0.48197135	-1.0	-1.0	-1.0	-1.0	808.34475684	500.0	7.0	1.0
0.57787812	0.34693879	0.35214447	0.5	1344.33703613	2035.1340332	0.0	-1.0	-1.0	-1.0	-1.0	886.24836874	6.0	8.0	1.0
0.74266368	0.69387758	0.74371589	0.625	217.05479431	156.4375	0.33514003	-1.0	-1.0	-1.0	-1.0	1005.0336647	350.0	9.0	1.0
