train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.88009048	0.62	0.76024242	0.69097222	99.71026611	610.08947754	0.40006613	-1.0	-1.0	-1.0	-1.0	101.36765242	500.0	0.0	1.0
0.71945703	0.69999999	0.7118379	0.58333333	226.66673279	275.88171387	0.33686077	-1.0	-1.0	-1.0	-1.0	154.20950007	95.0	1.0	1.0
0.76523703	0.73469388	0.79630979	0.61764706	149.66824341	220.23648071	0.40904799	-1.0	-1.0	-1.0	-1.0	213.405972	145.0	2.0	1.0
0.68848759	0.42857143	0.41449128	0.5625	1016.30932617	1482.2611084	0.21730675	-1.0	-1.0	-1.0	-1.0	303.79228497	500.0	3.0	1.0
0.90293455	0.69387758	0.8455024	0.68014706	61.42307281	225.42767334	0.35427428	-1.0	-1.0	-1.0	-1.0	379.94440031	401.0	4.0	1.0
0.79683971	0.69387758	0.77533898	0.58639706	123.04795074	283.66940308	0.25245931	-1.0	-1.0	-1.0	-1.0	442.25658607	159.0	5.0	1.0
0.76523703	0.51020408	0.49886624	0.625	518.56787109	1346.99169922	0.32196046	-1.0	-1.0	-1.0	-1.0	531.9787457	500.0	6.0	1.0
0.8555305	0.85714287	0.83506668	0.79411765	83.58063507	91.02152252	0.69473347	-1.0	-1.0	-1.0	-1.0	587.5870595	143.0	7.0	1.0
0.64334089	0.34693879	0.3633216	0.5	552.96569824	883.97167969	0.0	-1.0	-1.0	-1.0	-1.0	632.86489487	31.0	8.0	1.0
0.75169301	0.6122449	0.56908315	0.69354839	511.72619629	787.44940186	0.43395547	-1.0	-1.0	-1.0	-1.0	727.68487883	500.0	9.0	1.0
