train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.35582823	0.45945945	0.46932515	0.5	1442.13745117	1524.80883789	0.0	-1.0	-1.0	-1.0	-1.0	104.64687157	321.0	0.0	1.0
0.32515338	0.45945945	0.46932515	0.5	1415.20251465	1680.13134766	0.0	-1.0	-1.0	-1.0	-1.0	194.3927319	283.0	1.0	1.0
0.30061349	0.45945945	0.46932515	0.5	1561.91357422	1734.59814453	0.0	-1.0	-1.0	-1.0	-1.0	280.75446582	134.0	2.0	1.0
0.30581039	0.47222221	0.46788991	0.5	1555.71142578	1675.94006348	0.0	-1.0	-1.0	-1.0	-1.0	367.61144066	243.0	3.0	1.0
0.35168195	0.47222221	0.46788991	0.5	1464.37841797	1642.3717041	0.0	-1.0	-1.0	-1.0	-1.0	450.03824067	194.0	4.0	1.0
0.41284403	0.47222221	0.46788991	0.5	1212.2142334	1523.2154541	0.0	-1.0	-1.0	-1.0	-1.0	543.28025842	343.0	5.0	1.0
0.38532111	0.47222221	0.46788991	0.5	1321.18652344	1617.21105957	0.0	-1.0	-1.0	-1.0	-1.0	630.88931131	265.0	6.0	1.0
0.3792049	0.47222221	0.46788991	0.5	1285.71228027	1711.7857666	0.0	-1.0	-1.0	-1.0	-1.0	725.42927837	348.0	7.0	1.0
0.37308869	0.47222221	0.46788991	0.5	1421.95202637	1540.43395996	0.0	-1.0	-1.0	-1.0	-1.0	806.71038246	172.0	8.0	1.0
0.26911315	0.47222221	0.46788991	0.5	1712.60302734	1821.77429199	0.0	-1.0	-1.0	-1.0	-1.0	901.481426	272.0	9.0	1.0
