train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.47852761	0.45945945	0.50077158	0.5	801.80267334	1213.88708496	0.0	-1.0	-1.0	-1.0	-1.0	55.55611634	162.0	0.0	1.0
0.41104296	0.45945945	0.48540592	0.5	992.06768799	1582.47143555	0.0	-1.0	-1.0	-1.0	-1.0	109.09234619	197.0	1.0	1.0
0.33742332	0.45945945	0.47311717	0.5	1213.9732666	1787.09545898	0.0	-1.0	-1.0	-1.0	-1.0	158.66308737	154.0	2.0	1.0
0.48012233	0.5	0.48620112	0.52631579	896.1550293	1235.25866699	0.15988718	-1.0	-1.0	-1.0	-1.0	207.64444637	151.0	3.0	1.0
0.59633029	0.52777779	0.50458716	0.55263158	766.99658203	1437.91088867	0.22941573	-1.0	-1.0	-1.0	-1.0	282.04124999	415.0	4.0	1.0
0.42507645	0.47222221	0.47400612	0.5	984.0491333	1502.72912598	0.0	-1.0	-1.0	-1.0	-1.0	331.97754717	167.0	5.0	1.0
0.45565748	0.47222221	0.48085646	0.5	936.70489502	1553.10583496	0.0	-1.0	-1.0	-1.0	-1.0	384.51938605	183.0	6.0	1.0
0.44036698	0.47222221	0.47626462	0.5	1014.75793457	1705.61633301	0.0	-1.0	-1.0	-1.0	-1.0	438.67567229	205.0	7.0	1.0
0.41590214	0.47222221	0.46860534	0.5	1015.77502441	1519.93225098	0.0	-1.0	-1.0	-1.0	-1.0	483.58371782	110.0	8.0	1.0
0.37614679	0.47222221	0.46788991	0.5	1209.94372559	1427.72851562	0.0	-1.0	-1.0	-1.0	-1.0	523.51256657	69.0	9.0	1.0
