filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.764	0.679	0.823	0.766	32.087	122.688	0.371	-1.0	-1.0	-1.0	-1.0	112.367	500.0	0	1
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.572	0.286	0.742	0.47	148.452	273.088	-0.206	-1.0	-1.0	-1.0	-1.0	213.89	434.0	0	2
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.544	0.571	0.694	0.679	121.036	213.213	0.0	-1.0	-1.0	-1.0	-1.0	290.698	147.0	0	3
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.592	0.321	0.734	0.565	132.289	208.968	-0.124	-1.0	-1.0	-1.0	-1.0	373.338	232.0	0	4
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.564	0.571	0.711	0.693	76.389	106.047	0.0	-1.0	-1.0	-1.0	-1.0	469.767	468.0	0	5
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.604	0.429	0.671	0.556	67.345	62.465	0.081	-1.0	-1.0	-1.0	-1.0	568.95	500.0	0	6
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.424	0.321	0.49	0.491	217.414	332.337	0.0	-1.0	-1.0	-1.0	-1.0	639.55	45.0	0	7
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.552	0.536	0.753	0.674	56.99	58.837	-0.052	-1.0	-1.0	-1.0	-1.0	739.606	500.0	0	8
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.546	0.296	0.492	0.472	187.578	314.477	0.0	-1.0	-1.0	-1.0	-1.0	820.444	106.0	0	9
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	0.526	0.593	0.692	0.694	186.892	250.908	0.0	-1.0	-1.0	-1.0	-1.0	903.126	235.0	1	0
