filename	time	train_acc	val_acc	sd_acc10	val_auc	sd_auc10	val_tn	val_fn	val_fp	val_tp	val_precision	sd_precision10	val_recall	sd_recall10	val_f1	sd_f1_10	val_mmc	sd_mcc_10	epst	train_acc_a	sd_acc	val_acc_a	sd_acc	train_auc_a	sd_auc	val_auc_a	sd_auc	va_mmc_a	sd_mmc
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_111207c1.0di-1ch3dfc0.0file_sum_ok.txt	903.1	0.569	0.46	0.0	0.606	0.0	-1.0	-1.0	-1.0	-1.0	0.232	0.0	0.336	0.0	0.249	0.0	0.007	0.0	316.7	0.5687713176012039	0.08009173343024259	0.460317462682724	0.13873889453520605	0.6801206948207171	0.10259792713521328	0.6060480442176871	0.10230963505565036	0.006980873374129115	0.14273380950246287
results/Chatelier_gut_obesity_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_wminkowski_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_112717c1.0di-1ch3dfc0.0file_sum_ok.txt	1055.7	0.78	0.485	0.0	0.62	0.0	-1.0	-1.0	-1.0	-1.0	0.293	0.0	0.363	0.0	0.279	0.0	0.092	0.0	213.8	0.780293220281601	0.14506724314262642	0.485317462682724	0.11982324065037273	0.7514837687084331	0.12585134720386282	0.6204613095238096	0.0895746134388805	0.0924601900235584	0.16563735490341674
results/Chatelier_gut_obesity_umap_p10l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p10/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_090327c1.0di-1ch3dfc0.0file_sum_ok.txt	528.8	0.61	0.526	0.0	0.653	0.0	-1.0	-1.0	-1.0	-1.0	0.244	0.0	0.339	0.0	0.265	0.0	0.024	0.0	335.3	0.6103537797927856	0.07166192235518139	0.52579365670681	0.09824979863837914	0.7229482923318677	0.09980832314876814	0.6530824829931973	0.07192205350529238	0.023980131965336937	0.08375808275288132
results/Chatelier_gut_obesity_umap_p10l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_wminkowski_mdis_0.1_mdis__p10/a1_nonecaffe_estopc5_fc_o3adam_lr-1.0de0.0e500_20240311_091226c1.0di-1ch3dfc0.0file_sum_ok.txt	565.0	0.774	0.424	0.0	0.58	0.0	-1.0	-1.0	-1.0	-1.0	0.358	0.0	0.349	0.0	0.296	0.0	0.11	0.0	309.0	0.7740637570619583	0.13726471320031655	0.42433862686157225	0.09660396246000368	0.7924616609006205	0.158001162280935	0.5802118326754571	0.08259560762001558	0.10986998371804872	0.1407249599194045
results/metahitIBD_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o2adam_lr-1.0de0.0e500_20240311_122041c1.0di-1ch3dfc0.0file_sum_ok.txt	1005.0	0.668	0.51	0.0	0.572	0.0	-1.0	-1.0	-1.0	-1.0	0.45	0.0	0.568	0.0	0.433	0.0	0.17	0.0	203.0	0.6680280506610871	0.08659544403015557	0.5101224601268768	0.17725659457710788	0.5382421882679197	0.21297136877335632	0.5722375408496733	0.07971332869751332	0.1704217218121493	0.1819426746393325
results/metahitIBD_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_wminkowski_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o2adam_lr-1.0de0.0e500_20240311_123733c1.0di-1ch3dfc0.0file_sum_ok.txt	1299.1	0.68	0.485	0.0	0.556	0.0	-1.0	-1.0	-1.0	-1.0	0.428	0.0	0.551	0.0	0.391	0.0	0.154	0.0	129.7	0.6802656769752502	0.11246195332352885	0.4848163425922394	0.17036617785875435	0.5076533696210099	0.1914547519814107	0.5558159722222222	0.07377558154165519	0.15375882551299425	0.18926479970188245
results/metahitIBD_umap_p10l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p10/a1_nonecaffe_estopc5_fc_o2adam_lr-1.0de0.0e500_20240311_083034c1.0di-1ch3dfc0.0file_sum_ok.txt	785.8	0.708	0.633	0.0	0.588	0.0	-1.0	-1.0	-1.0	-1.0	0.599	0.0	0.575	0.0	0.503	0.0	0.223	0.0	319.1	0.707754111289978	0.0617085613908852	0.6325714290142059	0.1467220330965853	0.6722883117030793	0.1662010802790907	0.5883935866013073	0.07745897610501805	0.22341263482300847	0.18761035668781523
results/metahitIBD_umap_p10l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_wminkowski_mdis_0.1_mdis__p10/a1_nonecaffe_estopc5_fc_o2adam_lr-1.0de0.0e500_20240311_084347c1.0di-1ch3dfc0.0file_sum_ok.txt	727.7	0.777	0.62	0.0	0.633	0.0	-1.0	-1.0	-1.0	-1.0	0.702	0.0	0.632	0.0	0.556	0.0	0.342	0.0	297.4	0.7768847823143006	0.07935695041488965	0.6197551101446152	0.14492385067606922	0.6570060438956868	0.17091271469900063	0.633366276618174	0.07924951747494609	0.34206646369086224	0.16788459520457483
results/Quin_gut_liver_cirrhosis_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_dice_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o2adam_lr-1.0de0.0e500_20240311_104339c1.0di-1ch3dfc0.0file_sum_ok.txt	788.1	0.52	0.646	0.0	0.644	0.0	-1.0	-1.0	-1.0	-1.0	0.732	0.0	0.639	0.0	0.579	0.0	0.365	0.0	261.6	0.5201969027519227	0.06152479017637626	0.646195650100708	0.07604403170490416	0.6645570209487789	0.08042741042136632	0.643560606060606	0.0844187235791056	0.3648044768644996	0.17679599021737186
results/Quin_gut_liver_cirrhosis_umap_p100l100.0i300pix_r0p1.0spbm0.0a1.0rainbow_nb10_aun_0.0_1.0_metric_wminkowski_mdis_0.1_mdis__p100/a1_nonecaffe_estopc5_fc_o2adam_lr-1.0de0.0e500_20240311_105656c1.0di-1ch3dfc0.0file_sum_ok.txt	903.9	0.705	0.642	0.0	0.641	0.0	-1.0	-1.0	-1.0	-1.0	0.642	0.0	0.637	0.0	0.557	0.0	0.331	0.0	92.1	0.7049480199813842	0.11323562704576343	0.6423913061618804	0.13653989341640985	0.6733495784473661	0.14671617740455475	0.6409090909090909	0.13918380076308326	0.33106046807341666	0.28042024611535893
